1.000000000000000000e+00,0.000000000000000000e+00,5.497787143782137953e+00,2.000000000000000111e-01,2.356194490192344837e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.356194490192344837e+00,2.000000000000000111e-01,5.497787143782137953e+00
9.484739048320832699e-01,1.340047779929718075e-01,5.350804112876596186e+00,2.443495776739105230e-01,2.042035221693629499e+00,1.117954853409171279e-01,9.516359258018021183e-01,2.233165488198372906e+00,2.084561542459370254e-01,5.183627875283422171e+00
9.174145242228066710e-01,7.854383704577566627e-02,5.228111163834162411e+00,2.732219191025149208e-01,1.727875953204863979e+00,1.120315030110494714e-01,9.314714044005076854e-01,2.138135026708073205e+00,2.396133320161962232e-01,4.869468606794656651e+00
7.940272934520808956e-01,1.823418207928844681e-01,5.073918922073896276e+00,2.744410609074221519e-01,1.413716684709418026e+00,2.773887307137737901e-01,8.406697388656054759e-01,2.001055843284616831e+00,2.601403007288867197e-01,4.555309338299210253e+00
3.956297626878775286e-01,2.278181427499567369e-01,5.065492222321872795e+00,2.247958975244270796e-01,1.099557416212095351e+00,5.864863512144373736e-01,8.166762385053999429e-01,1.843990370587075267e+00,2.997596926692437380e-01,4.241150069801887135e+00
4.341899940029080307e-01,3.503606027512571330e-01,4.911780048846294378e+00,2.677232991252173067e-01,7.853981477124324373e-01,6.932383443454259719e-01,8.228084621562700152e-01,1.691680946930448792e+00,3.358335795525762002e-01,3.926990801302224110e+00
4.651138867252446185e-01,4.641235546477728846e-01,4.758256815973336273e+00,3.118745804725350790e-01,4.712388792127695236e-01,8.002386160146561789e-01,8.472337498245797738e-01,1.539788244523436767e+00,3.798538964113158389e-01,3.612831532802561085e+00
4.928302322414546688e-01,5.767278883451404381e-01,4.604955392739866760e+00,3.571033594463740024e-01,1.570796107131066099e-01,9.021377665610157415e-01,8.824139734973155402e-01,1.388842687824230815e+00,4.263659254764195494e-01,3.298672264302898061e+00
5.278748387307672374e-01,6.944738005931769820e-01,4.451942933135905278e+00,4.030807779476499597e-01,1.665334536937734811e-16,9.882638239282582893e-01,9.224023503078420116e-01,1.239669297322037123e+00,4.738186441794852155e-01,2.984512995803235036e+00
5.710294748601588699e-01,8.141134304872136296e-01,4.299308575521570752e+00,4.495367379325908574e-01,2.752645843911378488e-24,1.058456519969009912e+00,9.705617947298421644e-01,1.093951121937076110e+00,5.216939575078740621e-01,2.670353727303572011e+00
6.149531463846720225e-01,9.313217592041920234e-01,4.147094102802620696e+00,4.962825822496338968e-01,-3.384059243576817260e-28,1.120871909346742079e+00,1.029575651896088795e+00,9.551631189077181006e-01,5.697132347782285500e-01,2.356194458803908987e+00
6.587747445868690210e-01,1.045368369393028463e+00,3.995289434651320803e+00,5.432113821740761628e-01,-1.443645934174588028e-29,1.177551215969627751e+00,1.098938959349395228e+00,8.312222332079939324e-01,6.179036266155774060e-01,2.042035190304245962e+00
7.081394094011388418e-01,1.155516649773042914e+00,3.840045948109848339e+00,5.922839489332467622e-01,-4.423872384440511800e-29,1.222362943150215431e+00,1.177940201457697178e+00,7.250081485541595150e-01,6.671764425560604561e-01,1.727875921804582937e+00
